help_intent	help
create_lead_intent	Add new lead for {FIRST_NAME} at {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Create a lead for {FIRST_NAME} at {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Add a lead for {FIRST_NAME} at {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Create new lead for {LAST_NAME} at {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Add new lead for {LAST_NAME} at {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Create a lead for {LAST_NAME} at {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Add a lead for {LAST_NAME} at {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Create new lead for {FIRST_NAME} {LAST_NAME} at {EMAIL}
create_lead_intent	Add new lead for {FIRST_NAME} {LAST_NAME} at {EMAIL}
create_lead_intent	Create a lead for {FIRST_NAME} {LAST_NAME} at {EMAIL}
create_lead_intent	Add a lead for {FIRST_NAME} {LAST_NAME} at {EMAIL}
create_lead_intent	Create new lead for {FIRST_NAME} at {EMAIL}
create_lead_intent	Add new lead for {FIRST_NAME} at {EMAIL}
create_lead_intent	Create a lead for {FIRST_NAME} at {EMAIL}
create_lead_intent	Add a lead for {FIRST_NAME} at {EMAIL}
create_lead_intent	Create new lead for {LAST_NAME} at email {EMAIL}
create_lead_intent	Add new lead for {LAST_NAME} at email {EMAIL}
create_lead_intent	Create a lead for {LAST_NAME} at email {EMAIL}
create_lead_intent	Add a lead for {LAST_NAME} at email {EMAIL}
create_lead_intent	Create new lead for {FIRST_NAME} {LAST_NAME} from {COMPANY_NAME} with phone number {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Add new lead for {FIRST_NAME} {LAST_NAME} from {COMPANY_NAME} with phone number {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Create a lead for {FIRST_NAME} {LAST_NAME} from {COMPANY_NAME} with phone number {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Add a lead for {FIRST_NAME} {LAST_NAME} from {COMPANY_NAME} with phone number {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Create new lead for {FIRST_NAME} {LAST_NAME} of {COMPANY_NAME} with phone number {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Add new lead for {FIRST_NAME} {LAST_NAME} of {COMPANY_NAME} with phone number {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Create a lead for {FIRST_NAME} {LAST_NAME} of {COMPANY_NAME} with phone number {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Add a lead for {FIRST_NAME} {LAST_NAME} of {COMPANY_NAME} with phone number {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Create new lead for {FIRST_NAME} from {COMPANY_NAME} with phone number {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Add new lead for {FIRST_NAME} from {COMPANY_NAME} with phone number {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Create a lead for {FIRST_NAME} from {COMPANY_NAME} with phone number {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Add a lead for {FIRST_NAME} from {COMPANY_NAME} with phone number {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Create new lead for {FIRST_NAME} of {COMPANY_NAME} with phone number {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Add new lead for {FIRST_NAME} of {COMPANY_NAME} with phone number {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Create a lead for {FIRST_NAME} of {COMPANY_NAME} with phone number {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Add a lead for {FIRST_NAME} of {COMPANY_NAME} with phone number {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Create new lead for {LAST_NAME} from {COMPANY_NAME} with phone number {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Add new lead for {LAST_NAME} from {COMPANY_NAME} with phone number {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Create a lead for {LAST_NAME} from {COMPANY_NAME} with phone number {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Add a lead for {LAST_NAME} from {COMPANY_NAME} with phone number {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Create new lead for {LAST_NAME} of {COMPANY_NAME} with phone number {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Add new lead for {LAST_NAME} of {COMPANY_NAME} with phone number {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Create a lead for {LAST_NAME} of {COMPANY_NAME} with phone number {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Add a lead for {LAST_NAME} of {COMPANY_NAME} with phone number {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Create new lead for {FIRST_NAME} {LAST_NAME} from {COMPANY_NAME} at {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Add new lead for {FIRST_NAME} {LAST_NAME} from {COMPANY_NAME} at {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Create a lead for {FIRST_NAME} {LAST_NAME} from {COMPANY_NAME} at {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Add a lead for {FIRST_NAME} {LAST_NAME} from {COMPANY_NAME} at {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Create new lead for {FIRST_NAME} {LAST_NAME} of {COMPANY_NAME} at {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Add new lead for {FIRST_NAME} {LAST_NAME} of {COMPANY_NAME} at {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Create a lead for {FIRST_NAME} {LAST_NAME} of {COMPANY_NAME} at {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Add a lead for {FIRST_NAME} {LAST_NAME} of {COMPANY_NAME} at {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Create new lead for {FIRST_NAME} from {COMPANY_NAME} at {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Add new lead for {FIRST_NAME} from {COMPANY_NAME} at {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Create a lead for {FIRST_NAME} from {COMPANY_NAME} at {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Add a lead for {FIRST_NAME} from {COMPANY_NAME} at {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Create new lead for {FIRST_NAME} of {COMPANY_NAME} at {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Add new lead for {FIRST_NAME} of {COMPANY_NAME} at {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Create a lead for {FIRST_NAME} of {COMPANY_NAME} at {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Add a lead for {FIRST_NAME} of {COMPANY_NAME} at {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Create new lead for {LAST_NAME} from {COMPANY_NAME} at {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Add new lead for {LAST_NAME} from {COMPANY_NAME} at {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Create a lead for {LAST_NAME} from {COMPANY_NAME} at {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Add a lead for {LAST_NAME} from {COMPANY_NAME} at {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Create new lead for {LAST_NAME} of {COMPANY_NAME} at {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Add new lead for {LAST_NAME} of {COMPANY_NAME} at {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Create a lead for {LAST_NAME} of {COMPANY_NAME} at {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Add a lead for {LAST_NAME} of {COMPANY_NAME} at {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Create new lead for {FIRST_NAME} {LAST_NAME} from {COMPANY_NAME} at {EMAIL}
create_lead_intent	Add new lead for {FIRST_NAME} {LAST_NAME} from {COMPANY_NAME} at {EMAIL}
create_lead_intent	Create a lead for {FIRST_NAME} {LAST_NAME} from {COMPANY_NAME} at {EMAIL}
create_lead_intent	Add a lead for {FIRST_NAME} {LAST_NAME} from {COMPANY_NAME} at {EMAIL}
create_lead_intent	Create new lead for {FIRST_NAME} {LAST_NAME} of {COMPANY_NAME} at {EMAIL}
create_lead_intent	Add new lead for {FIRST_NAME} {LAST_NAME} of {COMPANY_NAME} at {EMAIL}
create_lead_intent	Create a lead for {FIRST_NAME} {LAST_NAME} of {COMPANY_NAME} at {EMAIL}
create_lead_intent	Add a lead for {FIRST_NAME} {LAST_NAME} of {COMPANY_NAME} at {EMAIL}
create_lead_intent	Create new lead for {FIRST_NAME} from {COMPANY_NAME} at {EMAIL}
create_lead_intent	Add new lead for {FIRST_NAME} from {COMPANY_NAME} at {EMAIL}
create_lead_intent	Create a lead for {FIRST_NAME} from {COMPANY_NAME} at {EMAIL}
create_lead_intent	Add a lead for {FIRST_NAME} from {COMPANY_NAME} at {EMAIL}
create_lead_intent	Create new lead for {FIRST_NAME} of {COMPANY_NAME} at {EMAIL}
create_lead_intent	Add new lead for {FIRST_NAME} of {COMPANY_NAME} at {EMAIL}
create_lead_intent	Create a lead for {FIRST_NAME} of {COMPANY_NAME} at {EMAIL}
create_lead_intent	Add a lead for {FIRST_NAME} of {COMPANY_NAME} at {EMAIL}
create_lead_intent	Create new lead for {LAST_NAME} from {COMPANY_NAME} at email {EMAIL}
create_lead_intent	Add new lead for {LAST_NAME} from {COMPANY_NAME} at email {EMAIL}
create_lead_intent	Create a lead for {LAST_NAME} from {COMPANY_NAME} at email {EMAIL}
create_lead_intent	Add a lead for {LAST_NAME} from {COMPANY_NAME} at email {EMAIL}
create_lead_intent	Create new lead for {LAST_NAME} of {COMPANY_NAME} at email {EMAIL}
create_lead_intent	Add new lead for {LAST_NAME} of {COMPANY_NAME} at email {EMAIL}
create_lead_intent	Create a lead for {LAST_NAME} of {COMPANY_NAME} at email {EMAIL}
create_lead_intent	Add a lead for {LAST_NAME} of {COMPANY_NAME} at email {EMAIL}
create_lead_intent	Create new lead for {FIRST_NAME} {LAST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL} from {COMPANY_NAME}
create_lead_intent	Add new lead for {FIRST_NAME} {LAST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL} from {COMPANY_NAME}
create_lead_intent	Create a lead for {FIRST_NAME} {LAST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL} from {COMPANY_NAME}
create_lead_intent	Add a lead for {FIRST_NAME} {LAST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL} from {COMPANY_NAME}
create_lead_intent	Create new lead for {FIRST_NAME} {LAST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL} of {COMPANY_NAME}
create_lead_intent	Add new lead for {FIRST_NAME} {LAST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL} of {COMPANY_NAME}
create_lead_intent	Create a lead for {FIRST_NAME} {LAST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL} of {COMPANY_NAME}
create_lead_intent	Add a lead for {FIRST_NAME} {LAST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL} of {COMPANY_NAME}
create_lead_intent	Create new lead for {FIRST_NAME} {LAST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL} at {COMPANY_NAME}
create_lead_intent	Add new lead for {FIRST_NAME} {LAST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL} at {COMPANY_NAME}
create_lead_intent	Create a lead for {FIRST_NAME} {LAST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL} at {COMPANY_NAME}
create_lead_intent	Add a lead for {FIRST_NAME} {LAST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL} at {COMPANY_NAME}
create_lead_intent	Create new lead for {FIRST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL} from {COMPANY_NAME}
create_lead_intent	Add new lead for {FIRST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL} from {COMPANY_NAME}
create_lead_intent	Create a lead for {FIRST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL} from {COMPANY_NAME}
create_lead_intent	Add a lead for {FIRST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL} from {COMPANY_NAME}
create_lead_intent	Create new lead for {FIRST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL} of {COMPANY_NAME}
create_lead_intent	Add new lead for {FIRST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL} of {COMPANY_NAME}
create_lead_intent	Create a lead for {FIRST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL} of {COMPANY_NAME}
create_lead_intent	Add a lead for {FIRST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL} of {COMPANY_NAME}
create_lead_intent	Create new lead for {FIRST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL} at {COMPANY_NAME}
create_lead_intent	Add new lead for {FIRST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL} at {COMPANY_NAME}
create_lead_intent	Create a lead for {FIRST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL} at {COMPANY_NAME}
create_lead_intent	Add a lead for {FIRST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL} at {COMPANY_NAME}
create_lead_intent	Create new lead for {LAST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL} from {COMPANY_NAME}
create_lead_intent	Add new lead for {LAST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL} from {COMPANY_NAME}
create_lead_intent	Create a lead for {LAST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL} from {COMPANY_NAME}
create_lead_intent	Add a lead for {LAST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL} from {COMPANY_NAME}
create_lead_intent	Create new lead for {LAST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL} of {COMPANY_NAME}
create_lead_intent	Add new lead for {LAST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL} of {COMPANY_NAME}
create_lead_intent	Create a lead for {LAST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL} of {COMPANY_NAME}
create_lead_intent	Add a lead for {LAST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL} of {COMPANY_NAME}
create_lead_intent	Create new lead for {LAST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL} at {COMPANY_NAME}
create_lead_intent	Add new lead for {LAST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL} at {COMPANY_NAME}
create_lead_intent	Create a lead for {LAST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL} at {COMPANY_NAME}
create_lead_intent	Add a lead for {LAST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL} at {COMPANY_NAME}
create_lead_intent	Create new lead for {FIRST_NAME} {LAST_NAME} at {PHONE_NUMBER} with email {EMAIL} from {COMPANY_NAME}
create_lead_intent	Add new lead for {FIRST_NAME} {LAST_NAME} at {PHONE_NUMBER} with email {EMAIL} from {COMPANY_NAME}
create_lead_intent	Create a lead for {FIRST_NAME} {LAST_NAME} at {PHONE_NUMBER} with email {EMAIL} from {COMPANY_NAME}
create_lead_intent	Add a lead for {FIRST_NAME} {LAST_NAME} at {PHONE_NUMBER} with email {EMAIL} from {COMPANY_NAME}
create_lead_intent	Create new lead for {FIRST_NAME} {LAST_NAME} at {PHONE_NUMBER} with email {EMAIL} of {COMPANY_NAME}
create_lead_intent	Add new lead for {FIRST_NAME} {LAST_NAME} at {PHONE_NUMBER} with email {EMAIL} of {COMPANY_NAME}
create_lead_intent	Create a lead for {FIRST_NAME} {LAST_NAME} at {PHONE_NUMBER} with email {EMAIL} of {COMPANY_NAME}
create_lead_intent	Add a lead for {FIRST_NAME} {LAST_NAME} at {PHONE_NUMBER} with email {EMAIL} of {COMPANY_NAME}
create_lead_intent	Create new lead for {FIRST_NAME} {LAST_NAME} at {PHONE_NUMBER} with email {EMAIL} at {COMPANY_NAME}
create_lead_intent	Add new lead for {FIRST_NAME} {LAST_NAME} at {PHONE_NUMBER} with email {EMAIL} at {COMPANY_NAME}
create_lead_intent	Create a lead for {FIRST_NAME} {LAST_NAME} at {PHONE_NUMBER} with email {EMAIL} at {COMPANY_NAME}
create_lead_intent	Add a lead for {FIRST_NAME} {LAST_NAME} at {PHONE_NUMBER} with email {EMAIL} at {COMPANY_NAME}
create_lead_intent	Create new lead for {FIRST_NAME} at {PHONE_NUMBER} with email {EMAIL} from {COMPANY_NAME}
create_lead_intent	Add new lead for {FIRST_NAME} at {PHONE_NUMBER} with email {EMAIL} from {COMPANY_NAME}
create_lead_intent	Create a lead for {FIRST_NAME} at {PHONE_NUMBER} with email {EMAIL} from {COMPANY_NAME}
create_lead_intent	Add a lead for {FIRST_NAME} at {PHONE_NUMBER} with email {EMAIL} from {COMPANY_NAME}
create_lead_intent	Create new lead for {FIRST_NAME} at {PHONE_NUMBER} with email {EMAIL} of {COMPANY_NAME}
create_lead_intent	Add new lead for {FIRST_NAME} at {PHONE_NUMBER} with email {EMAIL} of {COMPANY_NAME}
create_lead_intent	Create a lead for {FIRST_NAME} at {PHONE_NUMBER} with email {EMAIL} of {COMPANY_NAME}
create_lead_intent	Add a lead for {FIRST_NAME} at {PHONE_NUMBER} with email {EMAIL} of {COMPANY_NAME}
create_lead_intent	Create new lead for {FIRST_NAME} at {PHONE_NUMBER} with email {EMAIL} at {COMPANY_NAME}
create_lead_intent	Add new lead for {FIRST_NAME} at {PHONE_NUMBER} with email {EMAIL} at {COMPANY_NAME}
create_lead_intent	Create a lead for {FIRST_NAME} at {PHONE_NUMBER} with email {EMAIL} at {COMPANY_NAME}
create_lead_intent	Add a lead for {FIRST_NAME} at {PHONE_NUMBER} with email {EMAIL} at {COMPANY_NAME}
create_lead_intent	Create new lead for {LAST_NAME} at {PHONE_NUMBER} with email {EMAIL} from {COMPANY_NAME}
create_lead_intent	Add new lead for {LAST_NAME} at {PHONE_NUMBER} with email {EMAIL} from {COMPANY_NAME}
create_lead_intent	Create a lead for {LAST_NAME} at {PHONE_NUMBER} with email {EMAIL} from {COMPANY_NAME}
create_lead_intent	Add a lead for {LAST_NAME} at {PHONE_NUMBER} with email {EMAIL} from {COMPANY_NAME}
create_lead_intent	Create new lead for {LAST_NAME} at {PHONE_NUMBER} with email {EMAIL} of {COMPANY_NAME}
create_lead_intent	Add new lead for {LAST_NAME} at {PHONE_NUMBER} with email {EMAIL} of {COMPANY_NAME}
create_lead_intent	Create a lead for {LAST_NAME} at {PHONE_NUMBER} with email {EMAIL} of {COMPANY_NAME}
create_lead_intent	Add a lead for {LAST_NAME} at {PHONE_NUMBER} with email {EMAIL} of {COMPANY_NAME}
create_lead_intent	Create new lead for {LAST_NAME} at {PHONE_NUMBER} with email {EMAIL} at {COMPANY_NAME}
create_lead_intent	Add new lead for {LAST_NAME} at {PHONE_NUMBER} with email {EMAIL} at {COMPANY_NAME}
create_lead_intent	Create a lead for {LAST_NAME} at {PHONE_NUMBER} with email {EMAIL} at {COMPANY_NAME}
create_lead_intent	Add a lead for {LAST_NAME} at {PHONE_NUMBER} with email {EMAIL} at {COMPANY_NAME}
create_lead_intent	Create new lead for {FIRST_NAME} {LAST_NAME} at {EMAIL} from {COMPANY_NAME}
create_lead_intent	Add new lead for {FIRST_NAME} {LAST_NAME} at {EMAIL} from {COMPANY_NAME}
create_lead_intent	Create a lead for {FIRST_NAME} {LAST_NAME} at {EMAIL} from {COMPANY_NAME}
create_lead_intent	Add a lead for {FIRST_NAME} {LAST_NAME} at {EMAIL} from {COMPANY_NAME}
create_lead_intent	Create new lead for {FIRST_NAME} {LAST_NAME} at {EMAIL} of {COMPANY_NAME}
create_lead_intent	Add new lead for {FIRST_NAME} {LAST_NAME} at {EMAIL} of {COMPANY_NAME}
create_lead_intent	Create a lead for {FIRST_NAME} {LAST_NAME} at {EMAIL} of {COMPANY_NAME}
create_lead_intent	Add a lead for {FIRST_NAME} {LAST_NAME} at {EMAIL} of {COMPANY_NAME}
create_lead_intent	Create new lead for {FIRST_NAME} {LAST_NAME} at {EMAIL} at {COMPANY_NAME}
create_lead_intent	Add new lead for {FIRST_NAME} {LAST_NAME} at {EMAIL} at {COMPANY_NAME}
create_lead_intent	Create a lead for {FIRST_NAME} {LAST_NAME} at {EMAIL} at {COMPANY_NAME}
create_lead_intent	Add a lead for {FIRST_NAME} {LAST_NAME} at {EMAIL} at {COMPANY_NAME}
create_lead_intent	Create new lead for {FIRST_NAME} at {EMAIL} from {COMPANY_NAME}
create_lead_intent	Add new lead for {FIRST_NAME} at {EMAIL} from {COMPANY_NAME}
create_lead_intent	Create a lead for {FIRST_NAME} at {EMAIL} from {COMPANY_NAME}
create_lead_intent	Add a lead for {FIRST_NAME} at {EMAIL} from {COMPANY_NAME}
create_lead_intent	Create new lead for {FIRST_NAME} at {EMAIL} of {COMPANY_NAME}
create_lead_intent	Add new lead for {FIRST_NAME} at {EMAIL} of {COMPANY_NAME}
create_lead_intent	Create a lead for {FIRST_NAME} at {EMAIL} of {COMPANY_NAME}
create_lead_intent	Add a lead for {FIRST_NAME} at {EMAIL} of {COMPANY_NAME}
create_lead_intent	Create new lead for {FIRST_NAME} at {EMAIL} at {COMPANY_NAME}
create_lead_intent	Add new lead for {FIRST_NAME} at {EMAIL} at {COMPANY_NAME}
create_lead_intent	Create a lead for {FIRST_NAME} at {EMAIL} at {COMPANY_NAME}
create_lead_intent	Add a lead for {FIRST_NAME} at {EMAIL} at {COMPANY_NAME}
create_lead_intent	Create new lead for {LAST_NAME} at email {EMAIL} from {COMPANY_NAME}
create_lead_intent	Add new lead for {LAST_NAME} at email {EMAIL} from {COMPANY_NAME}
create_lead_intent	Create a lead for {LAST_NAME} at email {EMAIL} from {COMPANY_NAME}
create_lead_intent	Add a lead for {LAST_NAME} at email {EMAIL} from {COMPANY_NAME}
create_lead_intent	Create new lead for {LAST_NAME} at email {EMAIL} of {COMPANY_NAME}
create_lead_intent	Add new lead for {LAST_NAME} at email {EMAIL} of {COMPANY_NAME}
create_lead_intent	Create a lead for {LAST_NAME} at email {EMAIL} of {COMPANY_NAME}
create_lead_intent	Add a lead for {LAST_NAME} at email {EMAIL} of {COMPANY_NAME}
create_lead_intent	Create new lead for {LAST_NAME} at email {EMAIL} at {COMPANY_NAME}
create_lead_intent	Add new lead for {LAST_NAME} at email {EMAIL} at {COMPANY_NAME}
create_lead_intent	Create a lead for {LAST_NAME} at email {EMAIL} at {COMPANY_NAME}
create_lead_intent	Add a lead for {LAST_NAME} at email {EMAIL} at {COMPANY_NAME}
list_task_intent	Tell me my tasks
list_task_intent	Tell me my tasks for {TIMEFRAME}
list_task_intent	Get my tasks for {TIMEFRAME}
list_task_intent	List {TIMEFRAME} tasks
list_task_intent	Get {TIMEFRAME} tasks
create_task_intent	Create a new task {NAME} due {DATE} with {PRIORITY} priority
create_task_intent	Set a new task {NAME} due {DATE} with {PRIORITY} priority
create_task_intent	Add a new task {NAME} due {DATE} with {PRIORITY} priority
create_task_intent	Create a new task {NAME} due {DATE} has {PRIORITY} priority
create_task_intent	Set a new task {NAME} due {DATE} has {PRIORITY} priority
create_task_intent	Add a new task {NAME} due {DATE} has {PRIORITY} priority
create_task_intent	Create a new task {NAME} due {DATE}
create_task_intent	Set a new task {NAME} due {DATE}
create_task_intent	Add a new task {NAME} due {DATE}
create_task_intent	Create a new task {NAME}
create_task_intent	Set a new task {NAME}
create_task_intent	Add a new task {NAME}
create_task_intent	Create a new {PRIORITY} priority task {NAME} due {DATE}
create_task_intent	Set a new {PRIORITY} priority task {NAME} due {DATE}
create_task_intent	Add a new {PRIORITY} priority task {NAME} due {DATE}
create_task_intent	Create a new {PRIORITY} priority task {NAME}
create_task_intent	Set a new {PRIORITY} priority task {NAME}
create_task_intent	Add a new {PRIORITY} priority task {NAME}
list_event_intent	Tell me my schedule
list_event_intent	Tell me my events
list_event_intent	Tell me my appointments
list_event_intent	Tell me my meetings
list_event_intent	Tell me my schedule for {TIMEFRAME}
list_event_intent	Tell me my events for {TIMEFRAME}
list_event_intent	Tell me my appointments for {TIMEFRAME}
list_event_intent	Tell me my meetings for {TIMEFRAME}
list_event_intent	Get my schedule for {TIMEFRAME}
list_event_intent	Get my events for {TIMEFRAME}
list_event_intent	Get my appointments for {TIMEFRAME}
list_event_intent	Get my meetings for {TIMEFRAME}
list_event_intent	List {TIMEFRAME} schedule
list_event_intent	Get {TIMEFRAME} schedule
list_event_intent	List {TIMEFRAME} events
list_event_intent	Get {TIMEFRAME} events
list_event_intent	List {TIMEFRAME} appointments
list_event_intent	Get {TIMEFRAME} appointments
list_event_intent	List {TIMEFRAME} meetings
list_event_intent	Get {TIMEFRAME} meetings
create_event_intent	Create a new calendar event titled {TITLE} for {DATE} at {TIME}
create_event_intent	Set a new calendar event titled {TITLE} for {DATE} at {TIME}
create_event_intent	Create a new calendar event titled {TITLE} on {DATE} at {TIME}
create_event_intent	Set a new calendar event titled {TITLE} on {DATE} at {TIME}
create_event_intent	Create a new calendar event for {TITLE} for {DATE} at {TIME}
create_event_intent	Set a new calendar event for {TITLE} for {DATE} at {TIME}
create_event_intent	Create a new calendar event with {TITLE} for {DATE} at {TIME}
create_event_intent	Set a new calendar event with {TITLE} for {DATE} at {TIME}
create_event_intent	Create a new calendar event for {TITLE} on {DATE} at {TIME}
create_event_intent	Set a new calendar event for {TITLE} on {DATE} at {TIME}
create_event_intent	Create a new calendar event with {TITLE} on {DATE} at {TIME}
create_event_intent	Set a new calendar event with {TITLE} on {DATE} at {TIME}
create_event_intent	Create a new event titled {TITLE} for {DATE} at {TIME}
create_event_intent	Set a new event titled {TITLE} for {DATE} at {TIME}
create_event_intent	Create a new event titled {TITLE} on {DATE} at {TIME}
create_event_intent	Set a new event titled {TITLE} on {DATE} at {TIME}
create_event_intent	Create a new event for {TITLE} for {DATE} at {TIME}
create_event_intent	Set a new event for {TITLE} for {DATE} at {TIME}
create_event_intent	Create a new event with {TITLE} for {DATE} at {TIME}
create_event_intent	Set a new event with {TITLE} for {DATE} at {TIME}
